"country","MedianAge2023","MedianAge2023Male","MedianAge2023Female","MedianAge","MedianAgeMale","MedianAgeFemale"
"India",29.5,28.8,30.2,28,28,29.5
"China",39.8,38.6,41.1,37.5,37.5,39.4
"United States",38.5,37.2,39.8,37.2,37.2,39.8
"Indonesia",31.2,30.5,32,30.5,30.5,31.8
"Pakistan",22.7,22.6,22.8,21.9,21.9,22.1
"Nigeria",19.2,18.9,19.4,18.4,18.4,18.9
"Brazil",34.7,33.6,35.7,32.3,32.3,34.1
"Bangladesh",29.2,28.3,30,27.1,27.1,28.6
"Russia",41.5,39,44.2,37.5,37.5,43.2
"Ethiopia",20.2,20,20.5,19.6,19.6,20.1
"Mexico",30.6,28.9,32.3,28.2,28.2,30.4
"Japan",49.5,48,50.9,47.2,47.2,50
"Philippines",25.4,24.9,26,23.6,23.6,24.6
"Egypt",24.1,24.1,24.1,23.8,23.8,24.5
"DR Congo",16.8,16.6,16.9,16.5,16.5,16.8
"Vietnam",32.7,31.6,33.8,30.8,30.8,33
"Iran",33.3,33.1,33.5,31.5,31.5,32
"Turkey",33.6,33,34.1,28.7,28.7,29.7
"Germany",46.7,45.4,48.2,46.5,46.5,49.1
"Thailand",41,39.8,42.2,37.8,37.8,40.1
"Tanzania",18.9,18.7,19.2,17.9,17.9,18.4
"United Kingdom",40.6,39.9,41.4,39.6,39.6,41.7
"France",42.4,40.9,44,40,40,43.4
"South Africa",30.1,29.9,30.3,27.9,27.9,28.1
"Italy",48.1,47,49.1,45.4,45.4,47.5
"Kenya",20.9,20.8,21,19.9,19.9,20.1
"Myanmar",,,,28.3,28.3,30
"Colombia",32.4,31.2,33.6,30.2,30.2,32.2
"South Korea",45,43.5,46.8,41.6,41.6,45
"Uganda",16.1,15.3,16.9,14.9,14.9,16.5
"Sudan",19.1,18.8,19.3,18.1,18.1,18.5
"Spain",46.3,45.2,47.4,42.7,42.7,45.1
"Iraq",22.1,21.7,22.4,20.8,20.8,21.6
"Algeria",28.9,28.6,29.2,28.6,28.6,29.3
"Argentina",33,31.8,34.3,31.1,31.1,33.6
"Afghanistan",19.9,19.8,20,19.4,19.4,19.5
"Poland",42.4,41.1,43.7,40.3,40.3,43.6
"Canada",42.4,41.2,43.5,40.6,40.6,42.9
"Morocco",30.2,29.8,30.7,28.7,28.7,29.6
"Ukraine",45.3,41.3,50,38.2,38.2,44.3
"Angola",16.2,15.7,16.7,15.4,15.4,16.4
"Saudi Arabia",32,34.2,29,33,33,27.9
"Uzbekistan",28.7,27.9,29.5,29.4,29.4,30.7
"Yemen",21.6,21.6,21.8,19.6,19.6,19.9
"Mozambique",17.2,16.6,17.8,16.3,16.3,17.6
"Ghana",21.3,20.4,22.2,21,21,21.9
"Peru",30.1,29.1,31.1,28.3,28.3,29.9
"Malaysia",31.4,31.3,31.5,28.9,28.9,29.6
"Nepal",27.1,26,28.1,23.9,23.9,26.9
"Madagascar",21,20.9,21.2,20.1,20.1,20.5
"Ivory Coast",21,21,21,20.3,20.3,20.3
"Venezuela",30.8,30.1,31.5,29.4,29.4,30.7
"Cameroon",18.8,18.5,19.1,18.2,18.2,18.8
"Niger",15.1,14.8,15.5,14.5,14.5,15.1
"Australia",37.9,36.8,39,36.5,36.5,38.5
"North Korea",35.6,34.2,37.1,33.2,33.2,36.2
"Syria",23.9,23.3,24.5,23,23,24
"Mali",16.3,15.6,17,15.6,15.6,16.5
"Taiwan",44,43,45,41.5,41.5,43.1
"Burkina Faso",18.5,17.7,19.3,17,17,18.7
"Sri Lanka",33.9,32.1,35.6,32.3,32.3,35.1
"Malawi",20,19.7,20.2,16.7,16.7,16.9
"Zambia",18.2,18,18.4,16.7,16.7,17
"Kazakhstan",31.7,29.9,33.5,30.3,30.3,32.8
"Chile",36.6,35.4,37.8,34.3,34.3,36.7
"Romania",45.1,43.6,46.5,41,41,44
"Chad",16.5,16.1,17,15.6,15.6,16.5
"Somalia",19,19.2,18.7,18.7,18.7,18.3
"Ecuador",27.7,26.8,28.7,28,28,29.6
"Guatemala",24.4,23.8,25,22.6,22.6,23.8
"Senegal",19,18.2,19.8,18.5,18.5,20.3
"Netherlands",42.2,41,43.4,41.6,41.6,44
"Cambodia",27.6,27.6,28.5,25.6,25.6,27.2
"Zimbabwe",21,20.2,21.8,20.3,20.3,20.6
"Guinea",19.3,19.1,19.6,18.9,18.9,19.4
"Rwanda",20.5,19.8,21.2,18.9,18.9,20.4
"Benin",17.1,16.6,17.7,16.4,16.4,17.6
"Burundi",18.2,17.9,18.5,17.4,17.4,18
"Bolivia",26.2,25.9,26.6,24.5,24.5,26
"Tunisia",34,33.2,34.7,31.7,31.7,32.8
"Haiti",24.7,24.4,24.9,23.8,23.8,24.3
"Belgium",41.9,40.7,43,40.4,40.4,42.8
"Dominican Republic",28.9,28.7,29,27.8,27.8,28.1
"Jordan",24.6,25.1,24.1,23.9,23.9,22.9
"South Sudan",18.7,18.7,18.6,18.9,18.9,18.3
"Cuba",42.3,40.8,44.3,40.2,40.2,43.8
"Honduras",25.3,24.4,26.2,23.5,23.5,25.2
"Sweden",41,40,42,40.1,40.1,42.1
"Papua New Guinea",21.6,21.4,21.8,24,24,24
"Czech Republic",43.9,42.5,45.4,42,42,44.7
"Azerbaijan",33.8,32.2,35.4,31.1,31.1,34.2
"Tajikistan",22.7,22.3,23.2,24.6,24.6,26
"Greece",46.2,44.3,47.9,43.7,43.7,46.8
"Portugal",46,44,47.9,42.7,42.7,46.5
"Hungary",44.5,42.6,46.4,41.5,41.5,45.5
"United Arab Emirates",35.7,37.9,29.9,40.4,40.4,31.5
"Belarus",41.7,39.1,44.6,38,38,43.9
"Israel",30.1,29.5,30.7,29.8,29.8,31
"Togo",20.5,19.8,21.3,19.7,19.7,20.3
"Sierra Leone",19.2,18.8,19.6,18.5,18.5,19.7
