"country","FacebookUsersTotal2023","FacebookUsersPercent2023"
"India",314600000,0.21821160301259415
"United States",175000000,0.5119737195405624
"Indonesia",119900000,0.4285233597179228
"Pakistan",37300000,0.1521146288536615
"Nigeria",21750000,0.09491507559798124
"Brazil",109100000,0.5012927540631972
"Bangladesh",43250000,0.24756554206141135
"Ethiopia",6000000,0.046253569204848494
"Mexico",83750000,0.6472756184676027
"Japan",15050000,0.12272546894828726
"Philippines",80300000,0.6741881095987058
"Egypt",42000000,0.3668626843105024
"DR Congo",4700000,0.04449699339496097
"Vietnam",66200000,0.6653421466711585
"Turkey",32800000,0.38024393042291926
"Germany",24500000,0.29428554879942664
"Thailand",48100000,0.6691168585327959
"Tanzania",3800000,0.05473999919301717
"United Kingdom",34400000,0.5061693882026247
"France",30400000,0.46854412090411135
"South Africa",22150000,0.3629944244220289
"Italy",27950000,0.47616821525542785
"Kenya",9250000,0.16458187396658153
"Myanmar",14500000,0.2638057077148469
"Colombia",33500000,0.6400363892211453
"South Korea",9600000,0.18553606093375313
"Uganda",1850000,0.0370561385676845
"Spain",19350000,0.40759690700721857
"Iraq",17950000,0.3858252157606613
"Algeria",20800000,0.4494503319676886
"Argentina",27350000,0.5938182198888676
"Afghanistan",2950000,0.06801474190711031
"Poland",17850000,0.44379000543139296
"Canada",20650000,0.5280378374781874
"Morocco",17300000,0.4527437698728018
"Ukraine",12850000,0.33871212582293536
"Angola",3550000,0.09390383200112452
"Saudi Arabia",10750000,0.2868661036316742
"Uzbekistan",1650000,0.04625242657048853
"Yemen",2500000,0.07098269263077277
"Mozambique",2300000,0.06598122312089923
"Ghana",5650000,0.1624612587406314
"Peru",22850000,0.6588157738891213
"Malaysia",20250000,0.584046531059234
"Nepal",11850000,0.3793175580976056
"Madagascar",2950000,0.09498783028798057
"Ivory Coast",5650000,0.1908570874965232
"Venezuela",11900000,0.4048261537018086
"Cameroon",3600000,0.12247217015548488
"Niger",410100,0.014522483325526156
"Australia",14900000,0.5580632613022231
"Mali",1550000,0.06454087350617546
"Taiwan",16200000,0.676403141951049
"Burkina Faso",1950000,0.08179445456248838
"Sri Lanka",6550000,0.2984154186827552
"Malawi",749600,0.03490414073185639
"Zambia",2600000,0.12302046469087914
"Kazakhstan",2200000,0.11095328286808184
"Chile",12150000,0.6180426016002267
"Romania",9550000,0.48677312539336876
"Chad",461800,0.02450238094379054
"Somalia",1850000,0.09889387468446172
"Ecuador",12000000,0.6529771103771286
"Guatemala",7950000,0.4330435663616115
"Senegal",2600000,0.1426880575089947
"Netherlands",8050000,0.45554541660477194
"Cambodia",10450000,0.610331350350228
"Zimbabwe",1300000,0.07637928802870404
"Guinea",1950000,0.13421645466202575
"Rwanda",644600,0.044717587553442927
"Benin",1100000,0.07812460049920199
"Burundi",693000,0.05098716072661339
"Bolivia",7100000,0.5649566463409588
"Tunisia",6550000,0.5213021985661563
"Haiti",1900000,0.16010745738402954
"Belgium",6300000,0.5377365592747009
"Dominican Republic",5200000,0.4547837787371966
"Jordan",4900000,0.43039381385309444
"South Sudan",457600,0.04057783691043755
"Honduras",3950000,0.3671206384441669
"Sweden",5800000,0.543393279293184
"Papua New Guinea",844900,0.08034585710552553
"Czech Republic",4800000,0.4569803462273512
"Azerbaijan",1500000,0.1433636397696089
"Tajikistan",434800,0.042084833073335916
"Greece",5000000,0.48530873400422414
"Portugal",5900000,0.5771102991788699
"Hungary",5450000,0.5452730182002129
"United Arab Emirates",7300000,0.7610625392194814
"Belarus",662800,0.07010020161740245
"Israel",4550000,0.48863509933575694
"Togo",671500,0.07250943324510542
"Sierra Leone",749300,0.08345982812154014
"Austria",3150000,0.35089130289728165
"Switzerland",3050000,0.3445770520043595
"Laos",3200000,0.41361405491579656
"Hong Kong",4200000,0.5602479283832406
"Nicaragua",3250000,0.45502090366031417
"Serbia",2900000,0.4086217498366922
"Libya",5000000,0.71795786362735
"Paraguay",3500000,0.5037950158839372
"Kyrgyzstan",706100,0.10323694084132916
"Bulgaria",3400000,0.5137026402049372
"Turkmenistan",15900,0.002409795226513931
"El Salvador",3600000,0.5628263513421611
"Republic of the Congo",723800,0.11590912839634324
"Singapore",3300000,0.5452104173519658
"Denmark",3500000,0.5892558456284371
"Central African Republic",113700,0.019220278763350022
"Slovakia",2500000,0.43837868623869686
"Finland",2400000,0.4324413150107948
"Liberia",623900,0.11267938353775699
