"country","GdpPerCapitaIMF_USD_23","GdpDataYearIMF_23","GdpPerCapitaUN_USD_22","GdpPerCapitaWB_USD_22","GdpDataYearWB_22"
"India",2612.45,2023,2445.39,2410.9,2022
"China",12541.4,2023,12597.89,12720.2,2022
"United States",80412.41,2023,76100.72,76329.6,2022
"Indonesia",5108.94,2023,4788,4788,2022
"Pakistan",1471.1,2023,1385.76,1588.9,2022
"Nigeria",1755.33,2023,2173.77,2162.6,2022
"Brazil",10413,2023,8917.67,8917.7,2022
"Bangladesh",2621.29,2023,2527.52,2688.3,2022
"Russia",13005.71,2023,15481.8,15270.7,2022
"Ethiopia",1473.36,2023,964.27,1027.6,2022
"Mexico",13803.74,2023,11476.68,11496.5,2022
"Japan",33949.71,2023,34143.74,33823.6,2022
"Philippines",3859.19,2023,3498.51,3498.5,2022
"Egypt",3770.13,2023,3687.78,4295.4,2022
"DR Congo",675.48,2023,631.77,653.7,2022
"Vietnam",4316.34,2023,4163.51,4163.5,2022
"Iran",4233.99,2023,4495.15,4669.6,2022
"Turkey",13383.92,2023,10629.31,10674.5,2022
"Germany",52823.58,2023,48901.66,48718,2022
"Thailand",7297.99,2023,6908.8,6910,2022
"Tanzania",1326.63,2023,1153.77,1192.8,2022
"United Kingdom",48912.78,2023,45757.98,46125.3,2022
"France",46315.2,2023,41425.98,40886.3,2022
"South Africa",6190.74,2023,6766.48,6766.5,2022
"Italy",37146.23,2023,34672.09,34776.4,2022
"Kenya",2187.65,2023,2099.3,2099.3,2022
"Myanmar",1381.06,2023,1203.63,1149.2,2022
"Colombia",6975.87,2023,6630.28,6624.2,2022
"South Korea",33147.23,2023,32305.13,32422.6,2022
"Uganda",1163.03,2023,1021.04,964.4,2022
"Sudan",533.85,2023,783.57,1102.1,2022
"Spain",33090.24,2023,29771.14,29674.5,2022
"Iraq",5882.89,2023,5937.2,5937.2,2022
"Algeria",4874.71,2023,4273.92,4342.6,2022
"Argentina",13297.43,2023,13867.91,13650.6,2022
"Afghanistan",,,344.65,355.8,2021
"Poland",22393.03,2023,17264.78,18688,2022
"Canada",53246.98,2023,55596.84,54917.7,2022
"Morocco",3979.87,2023,3494.92,3442,2022
"Ukraine",5224.59,2023,4042.71,4534,2022
"Angola",2550,2023,3183.7,3000.4,2022
"Saudi Arabia",32586.17,2023,30436.28,30447.9,2022
"Uzbekistan",2509.16,2023,2321.61,2255.2,2022
"Yemen",617.67,2023,326.65,650.3,2022
"Mozambique",647.14,2023,558.3,558.3,2022
"Ghana",2328.97,2023,2203.56,2203.6,2022
"Peru",7668.67,2023,7125.83,7125.8,2022
"Malaysia",13034.07,2023,11971.92,11993.2,2022
"Nepal",1352.61,2023,1290.01,1336.5,2022
"Madagascar",529.56,2023,505.04,516.6,2022
"Ivory Coast",2728.08,2023,2486.41,2486.4,2022
"Venezuela",3474.33,2023,4569.11,15975.7,2014
"Cameroon",1721.95,2023,1588.48,1563.5,2022
"Niger",630.8,2023,588.17,585.4,2022
"Australia",63487.05,2023,67866.79,65099.8,2022
"North Korea",,,590.45,,
"Syria","n/a",,840.48,420.6,2021
"Mali",912.64,2023,833.3,833.3,2022
"Burkina Faso",888.03,2023,845.76,830,2022
"Sri Lanka",3342,2022,3489.68,3354.4,2022
"Malawi",579.7,2023,615.46,645.2,2022
"Zambia",1435.89,2023,1455.55,1456.9,2022
"Kazakhstan",12968.43,2023,11624.72,11492,2022
"Chile",17253.75,2023,15338.2,15355.5,2022
"Romania",18413.47,2023,15295.1,15786.8,2022
"Chad",702.85,2023,947.85,716.8,2022
"Somalia",717.41,2023,592.13,592.1,2022
"Ecuador",6500.05,2023,6391.28,6391.3,2022
"Guatemala",5407.24,2023,5324.13,5473.2,2022
"Senegal",1714.65,2023,1604.02,1598.7,2022
"Netherlands",61769.7,2023,57391.64,57025,2022
"Cambodia",1915.63,2023,1759.61,1759.6,2022
"Zimbabwe",2005.88,2023,1618.73,1676.8,2022
"Guinea",1542.76,2023,1504.13,1515.2,2022
"Rwanda",1031.69,2023,966.31,966.2,2022
"Benin",1449.11,2023,1302.85,1302.9,2022
"Burundi",245.81,2023,312.87,259,2022
"Bolivia",3857.84,2023,3600.12,3600.1,2022
"Tunisia",4190.6,2023,3737.52,3747.4,2022
"Haiti",2125.32,2023,1618.58,1748.3,2022
"Belgium",53656.83,2023,49986.83,49926.8,2022
"Dominican Republic",11248.79,2023,10111.25,10111.2,2022
"Jordan",4850.66,2023,4204.56,4311,2022
"South Sudan",417.44,2023,422.98,1071.8,2015
"Cuba",,,13128.02,56495.9,2022
"Honduras",3245.02,2023,3040.17,3040.2,2022
"Sweden",55215.85,2023,56040.3,56373.8,2022
"Papua New Guinea",2581.18,2023,3116.5,3115.9,2022
"Czech Republic",30474.53,2023,27685.15,27223,2022
"Azerbaijan",7529.7,2023,7599.97,7762.1,2022
"Tajikistan",1180.06,2023,1054.19,1054.2,2022
"Greece",23173.06,2023,20923.1,20867.3,2022
"Portugal",26878.87,2023,24812.9,24515.3,2022
"Hungary",21075.62,2023,17791.91,18390.2,2022
"United Arab Emirates",50602.33,2023,53707.98,53708,2022
"Belarus",7477.29,2023,7642.81,7888.3,2022
"Israel",53195.88,2023,58086.36,54930.9,2022
"Togo",1004.47,2023,913.93,942.6,2022
"Sierra Leone",414.96,2023,404.54,475.8,2022
"Austria",58013.27,2023,52608.76,52084.7,2022
"Switzerland",102865.57,2023,93636.42,93259.9,2022
