Name,country,Rank,Category,Followers,Audience Country,Authentic Engagement,Engagement Avg.
cristiano,Portugal,1,Sports with a ball,462.9M,India,5.5M,6.6M
leomessi,Argentina,2,Sports with a ballFamily,347.2M,Argentina,3.6M,4.8M
kendalljenner,United States,3,ModelingFashion,247.6M,United States,3M,4.9M
arianagrande,United States,4,Music,321.4M,United States,2.4M,3.4M
zendaya,United States,5,Cinema & Actors/actressesFashion,147M,United States,4.3M,5.8M
kimkardashian,United States,6,FashionBeauty,323.6M,United States,1.7M,2.5M
taylorswift,United States,7,Music,218.2M,Brazil,2.4M,3.2M
kyliejenner,United States,8,FashionModelingBeauty,357M,United States,1.2M,1.9M
selenagomez,United States,9,MusicLifestyle,334.9M,United States,1.4M,1.9M
thv,South Korea,10,,46.3M,United States,13.3M,13.3M
lalalalisa_m,Thailand,11,Music,79.9M,Indonesia,6.3M,7.3M
jennierubyjane,South Korea,12,Music,68.2M,Indonesia,7M,8.3M
virat.kohli,India,13,Sports with a ball,206.9M,India,2.1M,2.4M
tomholland2013,United Kingdom,14,Cinema & Actors/actresses,67.6M,United States,5.7M,7M
j.m,South Korea,15,,38.1M,,11.8M,11.8M
agustd,South Korea,16,Lifestyle,36.5M,,10.4M,10.4M
jin,South Korea,17,,37.4M,United States,9.9M,9.9M
beyonce,United States,18,MusicFashion,267.4M,United States,949.9K,1.3M
khloekardashian,United States,19,Clothing & OutfitsLifestyle,260.4M,United States,1.1M,1.4M
sooyaaa__,South Korea,20,MusicBeauty,62.1M,Indonesia,4.9M,5.6M
billieeilish,United States,21,Music,104.3M,United States,2.4M,3.1M
neymarjr,Brazil,22,Sports with a ball,176.2M,Brazil,1.3M,1.8M
khaby00,Italy,23,Sports with a ball,78.6M,India,2.8M,3.9M
justinbieber,Canada,24,Music,245.9M,India,798.5K,1.2M
roses_are_rosie,New Zealand,25,Music,61M,Indonesia,4M,4.6M
uarmyhope,South Korea,26,Art/ArtistsCinema & Actors/actressesMusic,37.4M,South Korea,6.9M,6.9M
badbunnypr,United States,27,Music,41.4M,United States,3.9M,6M
nickiminaj,United States,28,Music,197.8M,United States,744.2K,1.2M
instagram,United States,29,Photography,528.4M,India,339.6K,434.3K
jungkook.97,South Korea,30,Music,43M,,5.2M,5.2M
bts.bighitofficial,South Korea,31,Music,66M,Indonesia,3M,3.3M
iamcardib,United States,32,MusicFashion,137.3M,United States,1.1M,1.5M
kourtneykardash,United States,33,Lifestyle,189M,United States,739.8K,1.1M
karolg,Colombia,34,Music,54.5M,Mexico,3M,3.7M
zayn,United Kingdom,35,Music,46.2M,India,2.7M,4.3M
rkive,South Korea,36,Lifestyle,36M,,5.4M,5.4M
milliebobbybrown,United Kingdom,37,Cinema & Actors/actresses,53.2M,Brazil,2.8M,3.5M
gigihadid,United States,38,ModelingLifestyle,74.9M,United States,1.6M,2.4M
jlo,United States,39,MusicCinema & Actors/actresses,217.5M,United States,585.7K,743.2K
kingjames,United States,40,Sports with a ball,127.4M,United States,741.7K,1.3M
therock,United States,41,Cinema & Actors/actressesFitness & Gym,327.3M,India,373.2K,479.8K
adele,United Kingdom,42,Music,50.6M,United States,2.2M,3.1M
georginagio,Argentina,43,LifestyleFashionClothing & Outfits,39M,India,2.7M,3.8M
champagnepapi,Canada,44,Music,116.6M,United States,753.6K,1.2M
katrinakaif,United Kingdom,45,Beauty,65.6M,India,1.9M,2.2M
harrystyles,United Kingdom,46,MusicFashion,46.3M,United States,2.1M,2.9M
mileycyrus,United States,47,Music,178.2M,United States,557.8K,757.2K
eunwo.o_c,South Korea,48,MusicLifestyle,29.2M,Indonesia,3.6M,4.5M
travisscott,United States,49,Music,45.8M,United States,1.7M,2.5M
ester_exposito,Spain,50,Cinema & Actors/actresses,29.4M,Russia,2.6M,3.8M
robertdowneyjr,United States,51,Cinema & Actors/actresses,53.2M,India,1.6M,2M
dlwlrma,South Korea,52,Art/Artists,27M,South Korea,3M,3.5M
actorleeminho,South Korea,53,Cinema & Actors/actresses,30.1M,Indonesia,2.4M,3.1M
narendramodi,India,54,Finance & EconomicsBusiness & Careers,68.2M,India,1.2M,1.3M
shawnmendes,Canada,55,Music,69.4M,Brazil,838K,1.2M
k.mbappe,France,56,Sports with a ball,72.4M,France,806.5K,1.1M
johnnydepp,United States,57,Cinema & Actors/actressesMusic,26.6M,India,2.4M,3.1M
aliaabhatt,India,58,Cinema & Actors/actresses,67.2M,India,979.6K,1.2M
oliviarodrigo,United States,59,MusicCinema & Actors/actresses,27.1M,India,2.3M,2.9M
anushkasharma,India,60,Cinema & Actors/actresses,59.3M,India,1.2M,1.3M
dualipa,Albania,61,Music,85.1M,Mexico,729.1K,879.1K
dovecameron,United States,62,Cinema & Actors/actresses,48.1M,United States,1.2M,1.5M
camila_cabello,United States,63,Music,64.4M,Brazil,845.4K,1.1M
noahschnapp,United States,64,Cinema & Actors/actresses,24.7M,Brazil,2.3M,2.9M
danbilzerian,United States,65,Cinema & Actors/actresses,32.9M,India,1.3M,2.2M
charlidamelio,United States,66,LifestyleShows,48.9M,United States,1.2M,1.4M
dojacat,United States,67,Music,24.2M,United States,2M,2.7M
chrishemsworth,Australia,68,Cinema & Actors/actresses,55.1M,India,869.2K,1.1M
kimberly.loaiza,Mexico,69,Clothing & OutfitsLifestyle,35.2M,Mexico,1.4M,1.7M
lelepons,Venezuela,70,Music,49M,Mexico,763.5K,1.2M
iamzlatanibrahimovic,Sweden,71,Sports with a ball,54.6M,Italy,682.1K,1.1M
mosalah,Egypt,72,Sports with a ball,51.9M,Egypt,753.4K,1.1M
bn_sj2013,South Korea,73,Cinema & Actors/actressesModelingLifestyle,22.2M,Indonesia,2.1M,2.5M
jongsuk0206,South Korea,74,Cinema & Actors/actresses,23M,Indonesia,1.8M,2.4M
handemiyy,Turkey,75,Cinema & Actors/actresses,28.5M,Turkey,1.4M,1.9M
niallhoran,Ireland,76,Music,30.2M,United States,1.2M,1.8M
paulodybala,Argentina,77,Sports with a ball,47.7M,Argentina,684.3K,1.1M
gal_gadot,Israel,78,Cinema & Actors/actresses,83.8M,United States,468.3K,605.9K
oohsehun,South Korea,79,Music,23.3M,Indonesia,1.7M,2.1M
realmadrid,Spain,80,Sports with a ball,121.8M,Spain,289.5K,396.5K
sadiesink_,United States,81,ModelingLifestyleBeauty,21.6M,Brazil,1.5M,2.2M
