country,SocialMediaUsersTotal2023,SocialMediaPerc
China,1030000000,0.722716345
India,467000000,0.323918686
United States,246000000,0.719688771
Indonesia,167000000,0.596859058
Brazil,152400000,0.700247623
Russia,106000000,0.736330584
Mexico,94000000,0.726494426
Japan,92000000,0.750215491
Philippines,84450000,0.709030957
Pakistan,71700000,0.292402651
Germany,70900000,0.851626343
Vietnam,70000000,0.703533992
Turkey,62550000,0.725129812
United Kingdom,57100000,0.840182328
Thailand,52250000,0.726847315
France,52100000,0.802998312
Iran,48000000,0.534462945
South Korea,47640000,0.920722702
Egypt,46250000,0.403985694
Bangladesh,44700000,0.255865427
Italy,43900000,0.747899272
Spain,40700000,0.857322693
Colombia,38450000,0.73460893
Argentina,36350000,0.789224581
Canada,33100000,0.84639479
Nigeria,31600000,0.137899604
Saudi Arabia,29100000,0.776539871
Poland,27500000,0.683710092
Malaysia,26800000,0.772960347
Ukraine,26700000,0.703783172
South Africa,25800000,0.422810661
Iraq,25530000,0.548753078
Peru,25050000,0.722246614
Algeria,23950000,0.517516127
Morocco,21300000,0.55742441
Australia,21300000,0.797768286
Taiwan,20200000,0.843416263
Chile,16550000,0.841860498
Netherlands,15500000,0.877137138
Myanmar,15000000,0.272902456
Venezuela,14600000,0.496677466
Romania,13500000,0.688108607
Ecuador,13300000,0.723716297
Nepal,12600000,0.403324998
Kazakhstan,11850000,0.597634728
Cambodia,10950000,0.639533807
Kenya,10550000,0.187712299
United Arab Emirates,10000000,1.042551424
Belgium,9440000,0.805751289
Guatemala,8700000,0.473896733
Sweden,8700000,0.815089919
Czech Republic,8070000,0.768298207
Portugal,8050000,0.787413205
Bolivia,7500000,0.59678519
Greece,7490000,0.726992484
Hungary,7400000,0.740370704
Dominican Republic,7390000,0.646317716
Austria,7340000,0.817632433
Switzerland,7290000,0.823595642
Tunisia,7240000,0.576218003
Sri Lanka,7200000,0.328029163
Israel,7060000,0.758189846
Hong Kong,6730000,0.897730609
Cuba,6690000,0.598679844
Jordan,6610000,0.580592471
Ghana,6600000,0.189777754
Ethiopia,6400000,0.04933714
Ivory Coast,6400000,0.216192099
Libya,5650000,0.811292386
Uzbekistan,5350000,0.149969989
Singapore,5080000,0.839293612
Serbia,5010000,0.705929299
Denmark,4940000,0.831692536
Lebanon,4910000,0.940785324
DR Congo,4900000,0.046390482
Tanzania,4900000,0.070585788
Finland,4620000,0.832449531
Norway,4620000,0.837794772
Paraguay,4470000,0.643418206
Bulgaria,4420000,0.667813432
Honduras,4390000,0.408015089
Belarus,4270000,0.451611136
New Zealand,4240000,0.804563392
Oman,4170000,0.884682956
Slovakia,4160000,0.729462134
Azerbaijan,4150000,0.396639403
Ireland,4020000,0.789864894
El Salvador,4000000,0.625362613
Cameroon,3900000,0.132678184
Costa Rica,3830000,0.729980708
Angola,3700000,0.0978716
Kuwait,3590000,0.825405
Nicaragua,3450000,0.48302219
